Pillar_ID,Indicator_ID,Category (Policy issue),Criteria for scoring,"Possible scores 
[0 =simplified; 1 = heavily regulated]"
,9.4,"Licensing requirements for online content providers and applications (social media platforms, new providers, VPN, cloud servics, etc.)
Exception: Not cover license for telecommunication facilities and service providers (captured under Pillar 5), License for e-commerce platform (captured under Pillar 12)","1) Any strict licence requirement/ cases of more than one measure in category (2)
2) Any licensing scheme
3) No restriction","1
0.5
0"
10,Non-technical NTMs,,,
,10.1,"Import ban applied to ICT goods and online services (e.g. network equipment, servers, handsets, applications, and data processing)","1) Ban on more than one ICT goods or digital services
2) Ban on one specific product or services
3) No measure ","1
0.5
0"
,10.2,Other import restrictions on ICT goods and online services,"1) Import restrictions that potentially block trade (e.g., quotas) OR at least two measures of category (2)
2) Import estrictions that add regulatory compliance costs to trade in ICT goods and online services (e.g., licenses, permits, authorization, registration for ICT goods and labelling requirements and import controls)
3) No restriction","1
0.5
0"
,10.3,Local content requirements ,"1) At least one LCR at sectoral or horizontal level (i.e. HS-4 (e.g.telephony equipment)) and HS-2 levels) OR at least two LCRs of category (2)
2) At least one LCR at product level (i.e. HS-6 and HS-8 levels (e.g. mobile phones and smartphones)
3) No measure","1
0.5
0"
,10.4,Export restrictions on ICTgoods and online services,"1) Export restriction
2) No restriction","1
0"
11,Standards and Procedures,,,
,11.1,Lack of transparent technical standards,"1) Not allowed foreigners to participate in the standard-setting bodies, OR non transparent standard-setting
2) No restriction","1
0"
,11.2,"Self-certification limitations for product safety (radio transmissions, EMC/EMI)","1) Not allow SDoC and third-party certification 
2) SDoC is not allowed, but accept 3rd party-certification from CABs from a number of countries with MRA 
3) SDoC is allowed for foreign business","1
0.5
0"
,11.3,Product screening and testing requirements,"1) Measure in place and used for products in scope
2) Measure in place, but acceptance of 3rd party testing results
3) No requirement","1
0.5
0"
,11.4,"Deviation from international encryption standards (ISO, IEC, ITU, FIPS, AES, TDES, and ECC)","1) For any measure or known case
2) No restriction","1
0"
12,Online Sales and Transactions,,,
,12.01,Foreign equity limits in e-commerce sector,"1) A minority stakes  (1-50%) allowed 
2) A controlling stake (51-99%) allowed
3) Full ownership (100%) allowed in e-commerce sector","1
0.5
0"
,12.2,"Online purchases and delivery limitations
Exception: Not score limitations on online purchases and delivery applied specifically to products related to consumer protection, notably restrictions on alcoholic beverages, tobacco, and pharmaceuticals.","1) Any measure limits the number of products that can be purchases online AND restrictions to delivery of products bought online
2) No measure","1
0"
,12.3,"Licensing scheme for e-commerce providers (B2B and B2C)
Exception: Licenses pertiaining to other aspects of e-commerce businesses, such as license to operate online payment services and delivery are not captured. ","1) Any license for e-commerce providers
2) No license ","1
0"
,12.4.1,"Online payment limitations: mandate local bank account
","1) Requirements to use a local bank account
2) No restriction","1
0"
,12.4.2,"Online payment limitations: mandate currency used for international payments
","1) Requirements on the currency used for international payments
2) No restriction","1
0"
,12.4.3,"Online payment limitations: deviate national standards
","1) National standards for payment security that deviate from international standards
2) No restriction","1
0"
,12.4.4,"Online payment limitations: licensing requirements
","1) Licensing requirements with restrictive conditions
2) No restriction","1
0"
,12.4.5,Online payment limitations: ceiling on the maximum amount ,"1) Ceilings on the maximum amount that can be paid by electronic payment methods
2) No restriction","1
0"
,12.4.6,"Online payment limitations: mandate specific intermediaries
","1) Requirements mandating the use of specific intermediaries for online payments
2) No restriction","1
0"
,12.4.7,"Online payment limitations: others restrictions
","1) Other restrctions
2) No restriction","1
0"
,12.5,Low De Minimis,"1) No De Minimis
2) De Minimis below < 200 USD
3) De Minimis ≥ 200 USD","1
0.5
0"
,12.6,Imposition of custom duties on electronic transmission ,"1) Imposition of custom duties on electronic transmission
2) Legal mechanisms or regulations applicable to impose custom duties on electronic transmission
3) No restriction","1
0.5
0"
,12.7,Domain name requirements,"1) Physical presence required, requirements to the registrater a local domain name to conduct electronic retail 
2) Local representative required
3) No restriction","1
0.5
0"
,12.8,Local presence requirements for online service providers,"1) Local presence requirement for at least one sector
2) No requirement","1
0"
,12.9,Lack of legal framework for online consumer protection,"1) No consumer protection legal framework applicable to online commerce 
2) Consumer protection law applicable to online commerce","1
0"
,12.10,Not in the United Nations Convention of Electronic Communications,"1) Lack of ratification of the UN Convention
2) Signature and ratification of the UN Convention","1
0"
,12.11,Not in the UNCITRAL Model Law on Electronic Commerce,"1.) Not notified adoption of the UNCITRAL Model Law and no adoption in domestic law
2.) Not notified adoption of UNCITRAL model law but adoption in domestic law
3.) Notified adoption of the UNCITRAL Model Law","1
0.5
0"
,12.12,Not in the UNCITRAL Model Law on Electronic Signatures,"1.) Not notified adoption of the UNCITRAL Model Law and no adoption in domestic law
2.) Not notified adoption of UNCITRAL model law but adoption in domestic law
3.) Notified adoption of the UNCITRAL Model Law","1
0.5
0"
,12.13,Not in the UNCITRAL Model Law on Electronic Transferable Records,"1.) Not notified adoption of the UNCITRAL Model Law and no adoption in domestic law
2.) Not notified adoption of UNCITRAL model law but adoption in domestic law
3.) Notified adoption of the UNCITRAL Model Law","1
0.5
0"
,,,,
